file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,95,css,34dad491,Marco,2025-10-03,20:52:29,-07:00,2025-10-03T20:52:29-07:00,1,11
style.css,96,css,34dad491,Marco,2025-10-03,20:52:29,-07:00,2025-10-03T20:52:29-07:00,1,11
style.css,97,css,34dad491,Marco,2025-10-03,20:52:29,-07:00,2025-10-03T20:52:29-07:00,1,17
style.css,98,css,34dad491,Marco,2025-10-03,20:52:29,-07:00,2025-10-03T20:52:29-07:00,1,14
style.css,99,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,0
style.css,100,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,0
style.css,101,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,24
style.css,102,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,9
style.css,103,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,12
style.css,104,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,58
style.css,105,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,7
style.css,106,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,11
style.css,107,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,0
style.css,108,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,0
style.css,109,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,27
style.css,110,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,17
style.css,111,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,21
style.css,112,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,17
style.css,113,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,12
style.css,114,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,24
style.css,115,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,15
style.css,116,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,0
style.css,117,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,0
style.css,118,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,18
style.css,119,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,12
style.css,120,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,12
style.css,121,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,15
style.css,122,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,15
style.css,123,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,0
style.css,124,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,0
style.css,125,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,21
style.css,126,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,13
style.css,127,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,10
style.css,128,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,17
style.css,129,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,13
style.css,130,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,0
style.css,131,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,0
style.css,132,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,21
style.css,133,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,11
style.css,134,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,10
style.css,135,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,15
style.css,136,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,0
style.css,137,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,0
style.css,138,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,3
style.css,139,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,74
style.css,140,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,16
style.css,141,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,14
style.css,142,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,29
style.css,143,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,15
style.css,144,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,0
style.css,145,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,0
style.css,146,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,6
style.css,147,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,54
style.css,148,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,19
style.css,149,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,13
style.css,150,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,59
style.css,151,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,0
style.css,152,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,0
style.css,153,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,6
style.css,154,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,82
style.css,155,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,16
style.css,156,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,13
style.css,157,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,0
style.css,158,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,0
style.css,159,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,10
style.css,160,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,69
style.css,161,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,0
style.css,162,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,0
style.css,163,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,6
style.css,164,css,06569b0b,Marco,2025-10-11,10:33:41,-07:00,2025-10-11T10:33:41-07:00,1,49
style.css,165,css,06569b0b,Marco,2025-10-11,10:33:41,-07:00,2025-10-11T10:33:41-07:00,1,19
style.css,166,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,9
